Best parameters set found on development set:
0.64891 (+/-0.025) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 2, 'classification__n_neighbors': 53, 'classification__p': 2, 'classification__weights': 'uniform'}
0.62273 (+/-0.038) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 4, 'classification__n_neighbors': 19, 'classification__p': 1, 'classification__weights': 'uniform'}
0.62273 (+/-0.035) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 7, 'classification__n_neighbors': 19, 'classification__p': 1, 'classification__weights': 'distance'}
0.62273 (+/-0.022) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 8, 'classification__n_neighbors': 17, 'classification__p': 1, 'classification__weights': 'distance'}
0.62273 (+/-0.032) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 9, 'classification__n_neighbors': 15, 'classification__p': 2, 'classification__weights': 'uniform'}
0.62273 (+/-0.038) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 11, 'classification__n_neighbors': 25, 'classification__p': 1, 'classification__weights': 'distance'}
0.62273 (+/-0.048) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 12, 'classification__n_neighbors': 15, 'classification__p': 2, 'classification__weights': 'distance'}
0.62273 (+/-0.035) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 14, 'classification__n_neighbors': 17, 'classification__p': 1, 'classification__weights': 'uniform'}
0.62273 (+/-0.036) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 15, 'classification__n_neighbors': 25, 'classification__p': 1, 'classification__weights': 'distance'}
0.62273 (+/-0.037) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 18, 'classification__n_neighbors': 23, 'classification__p': 1, 'classification__weights': 'distance'}
0.62273 (+/-0.038) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 24, 'classification__n_neighbors': 21, 'classification__p': 1, 'classification__weights': 'distance'}
0.62273 (+/-0.033) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 26, 'classification__n_neighbors': 19, 'classification__p': 2, 'classification__weights': 'distance'}
0.62273 (+/-0.024) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 28, 'classification__n_neighbors': 19, 'classification__p': 2, 'classification__weights': 'uniform'}
0.62273 (+/-0.022) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 30, 'classification__n_neighbors': 15, 'classification__p': 2, 'classification__weights': 'distance'}
0.62250 (+/-0.042) for {'classification__algorithm': 'auto', 'classification__leaf_size': 3, 'classification__n_neighbors': 33, 'classification__p': 1, 'classification__weights': 'distance'}
0.62250 (+/-0.039) for {'classification__algorithm': 'auto', 'classification__leaf_size': 11, 'classification__n_neighbors': 21, 'classification__p': 2, 'classification__weights': 'distance'}
0.62250 (+/-0.037) for {'classification__algorithm': 'auto', 'classification__leaf_size': 13, 'classification__n_neighbors': 17, 'classification__p': 2, 'classification__weights': 'distance'}
0.62250 (+/-0.030) for {'classification__algorithm': 'auto', 'classification__leaf_size': 22, 'classification__n_neighbors': 15, 'classification__p': 2, 'classification__weights': 'distance'}
0.62250 (+/-0.032) for {'classification__algorithm': 'auto', 'classification__leaf_size': 22, 'classification__n_neighbors': 17, 'classification__p': 1, 'classification__weights': 'distance'}
0.62250 (+/-0.037) for {'classification__algorithm': 'auto', 'classification__leaf_size': 26, 'classification__n_neighbors': 17, 'classification__p': 2, 'classification__weights': 'uniform'}
0.62250 (+/-0.027) for {'classification__algorithm': 'auto', 'classification__leaf_size': 30, 'classification__n_neighbors': 19, 'classification__p': 2, 'classification__weights': 'distance'}
0.62250 (+/-0.037) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 6, 'classification__n_neighbors': 23, 'classification__p': 1, 'classification__weights': 'distance'}
0.62250 (+/-0.030) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 8, 'classification__n_neighbors': 21, 'classification__p': 1, 'classification__weights': 'distance'}
0.62250 (+/-0.039) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 10, 'classification__n_neighbors': 19, 'classification__p': 1, 'classification__weights': 'uniform'}
0.62250 (+/-0.023) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 13, 'classification__n_neighbors': 15, 'classification__p': 1, 'classification__weights': 'uniform'}
0.62250 (+/-0.027) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 19, 'classification__n_neighbors': 19, 'classification__p': 2, 'classification__weights': 'distance'}
0.62250 (+/-0.040) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 25, 'classification__n_neighbors': 17, 'classification__p': 2, 'classification__weights': 'distance'}
0.62250 (+/-0.025) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 26, 'classification__n_neighbors': 15, 'classification__p': 2, 'classification__weights': 'uniform'}
0.62250 (+/-0.024) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 27, 'classification__n_neighbors': 17, 'classification__p': 2, 'classification__weights': 'distance'}
0.62250 (+/-0.034) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 29, 'classification__n_neighbors': 19, 'classification__p': 1, 'classification__weights': 'distance'}
0.62250 (+/-0.043) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 5, 'classification__n_neighbors': 19, 'classification__p': 1, 'classification__weights': 'uniform'}
0.62250 (+/-0.023) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 10, 'classification__n_neighbors': 19, 'classification__p': 2, 'classification__weights': 'distance'}
0.62250 (+/-0.026) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 11, 'classification__n_neighbors': 15, 'classification__p': 2, 'classification__weights': 'uniform'}
0.62250 (+/-0.032) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 18, 'classification__n_neighbors': 21, 'classification__p': 1, 'classification__weights': 'distance'}
0.62250 (+/-0.037) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 19, 'classification__n_neighbors': 21, 'classification__p': 2, 'classification__weights': 'distance'}
0.62250 (+/-0.038) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 20, 'classification__n_neighbors': 29, 'classification__p': 1, 'classification__weights': 'distance'}
0.62250 (+/-0.030) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 23, 'classification__n_neighbors': 19, 'classification__p': 2, 'classification__weights': 'distance'}
0.62250 (+/-0.037) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 28, 'classification__n_neighbors': 17, 'classification__p': 2, 'classification__weights': 'uniform'}
0.62228 (+/-0.034) for {'classification__algorithm': 'auto', 'classification__leaf_size': 7, 'classification__n_neighbors': 17, 'classification__p': 2, 'classification__weights': 'uniform'}
0.62228 (+/-0.032) for {'classification__algorithm': 'auto', 'classification__leaf_size': 10, 'classification__n_neighbors': 21, 'classification__p': 2, 'classification__weights': 'distance'}
0.62228 (+/-0.033) for {'classification__algorithm': 'auto', 'classification__leaf_size': 16, 'classification__n_neighbors': 15, 'classification__p': 1, 'classification__weights': 'uniform'}
0.62228 (+/-0.035) for {'classification__algorithm': 'auto', 'classification__leaf_size': 19, 'classification__n_neighbors': 21, 'classification__p': 1, 'classification__weights': 'distance'}
0.62228 (+/-0.024) for {'classification__algorithm': 'auto', 'classification__leaf_size': 20, 'classification__n_neighbors': 19, 'classification__p': 2, 'classification__weights': 'distance'}
0.62228 (+/-0.026) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 2, 'classification__n_neighbors': 19, 'classification__p': 2, 'classification__weights': 'uniform'}
0.62228 (+/-0.033) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 2, 'classification__n_neighbors': 21, 'classification__p': 2, 'classification__weights': 'distance'}
0.62228 (+/-0.019) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 3, 'classification__n_neighbors': 15, 'classification__p': 2, 'classification__weights': 'uniform'}
0.62228 (+/-0.039) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 12, 'classification__n_neighbors': 17, 'classification__p': 1, 'classification__weights': 'uniform'}
0.62228 (+/-0.033) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 16, 'classification__n_neighbors': 15, 'classification__p': 2, 'classification__weights': 'uniform'}
0.62228 (+/-0.026) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 17, 'classification__n_neighbors': 21, 'classification__p': 1, 'classification__weights': 'distance'}
0.62228 (+/-0.038) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 21, 'classification__n_neighbors': 21, 'classification__p': 1, 'classification__weights': 'uniform'}
0.62228 (+/-0.030) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 4, 'classification__n_neighbors': 13, 'classification__p': 2, 'classification__weights': 'distance'}
0.62228 (+/-0.035) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 5, 'classification__n_neighbors': 15, 'classification__p': 2, 'classification__weights': 'uniform'}
0.62228 (+/-0.038) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 5, 'classification__n_neighbors': 17, 'classification__p': 1, 'classification__weights': 'uniform'}
0.62228 (+/-0.024) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 9, 'classification__n_neighbors': 19, 'classification__p': 2, 'classification__weights': 'distance'}
0.62228 (+/-0.028) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 14, 'classification__n_neighbors': 15, 'classification__p': 2, 'classification__weights': 'uniform'}
0.62228 (+/-0.036) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 21, 'classification__n_neighbors': 21, 'classification__p': 1, 'classification__weights': 'distance'}
0.62228 (+/-0.037) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 22, 'classification__n_neighbors': 17, 'classification__p': 2, 'classification__weights': 'distance'}
0.62228 (+/-0.027) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 27, 'classification__n_neighbors': 15, 'classification__p': 2, 'classification__weights': 'distance'}
0.62228 (+/-0.035) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 30, 'classification__n_neighbors': 21, 'classification__p': 1, 'classification__weights': 'uniform'}
0.62206 (+/-0.033) for {'classification__algorithm': 'auto', 'classification__leaf_size': 1, 'classification__n_neighbors': 21, 'classification__p': 2, 'classification__weights': 'distance'}
0.62206 (+/-0.039) for {'classification__algorithm': 'auto', 'classification__leaf_size': 2, 'classification__n_neighbors': 17, 'classification__p': 1, 'classification__weights': 'uniform'}
0.62206 (+/-0.029) for {'classification__algorithm': 'auto', 'classification__leaf_size': 2, 'classification__n_neighbors': 19, 'classification__p': 1, 'classification__weights': 'distance'}
0.62206 (+/-0.020) for {'classification__algorithm': 'auto', 'classification__leaf_size': 2, 'classification__n_neighbors': 19, 'classification__p': 2, 'classification__weights': 'uniform'}
0.62206 (+/-0.032) for {'classification__algorithm': 'auto', 'classification__leaf_size': 3, 'classification__n_neighbors': 19, 'classification__p': 2, 'classification__weights': 'distance'}
0.62206 (+/-0.047) for {'classification__algorithm': 'auto', 'classification__leaf_size': 7, 'classification__n_neighbors': 19, 'classification__p': 1, 'classification__weights': 'distance'}
0.62206 (+/-0.039) for {'classification__algorithm': 'auto', 'classification__leaf_size': 25, 'classification__n_neighbors': 21, 'classification__p': 1, 'classification__weights': 'distance'}
0.62206 (+/-0.022) for {'classification__algorithm': 'auto', 'classification__leaf_size': 26, 'classification__n_neighbors': 19, 'classification__p': 2, 'classification__weights': 'uniform'}
0.62206 (+/-0.029) for {'classification__algorithm': 'auto', 'classification__leaf_size': 30, 'classification__n_neighbors': 17, 'classification__p': 2, 'classification__weights': 'distance'}
0.62206 (+/-0.028) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 1, 'classification__n_neighbors': 13, 'classification__p': 2, 'classification__weights': 'uniform'}
0.62206 (+/-0.028) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 6, 'classification__n_neighbors': 19, 'classification__p': 1, 'classification__weights': 'uniform'}
0.62206 (+/-0.035) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 8, 'classification__n_neighbors': 19, 'classification__p': 1, 'classification__weights': 'distance'}
0.62206 (+/-0.033) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 9, 'classification__n_neighbors': 21, 'classification__p': 2, 'classification__weights': 'distance'}
0.62206 (+/-0.034) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 14, 'classification__n_neighbors': 21, 'classification__p': 1, 'classification__weights': 'uniform'}
0.62206 (+/-0.029) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 16, 'classification__n_neighbors': 19, 'classification__p': 2, 'classification__weights': 'uniform'}
0.62206 (+/-0.027) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 16, 'classification__n_neighbors': 21, 'classification__p': 1, 'classification__weights': 'distance'}
0.62206 (+/-0.023) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 20, 'classification__n_neighbors': 15, 'classification__p': 2, 'classification__weights': 'uniform'}
0.62206 (+/-0.033) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 23, 'classification__n_neighbors': 21, 'classification__p': 2, 'classification__weights': 'distance'}
0.62206 (+/-0.037) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 24, 'classification__n_neighbors': 17, 'classification__p': 2, 'classification__weights': 'distance'}
0.62206 (+/-0.024) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 24, 'classification__n_neighbors': 19, 'classification__p': 2, 'classification__weights': 'distance'}
0.62206 (+/-0.047) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 26, 'classification__n_neighbors': 23, 'classification__p': 1, 'classification__weights': 'distance'}
0.62206 (+/-0.033) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 28, 'classification__n_neighbors': 17, 'classification__p': 1, 'classification__weights': 'distance'}
0.62206 (+/-0.037) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 1, 'classification__n_neighbors': 15, 'classification__p': 2, 'classification__weights': 'distance'}
0.62206 (+/-0.035) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 1, 'classification__n_neighbors': 21, 'classification__p': 2, 'classification__weights': 'distance'}
0.62206 (+/-0.030) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 3, 'classification__n_neighbors': 21, 'classification__p': 2, 'classification__weights': 'distance'}
0.62206 (+/-0.035) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 8, 'classification__n_neighbors': 21, 'classification__p': 2, 'classification__weights': 'uniform'}
0.62206 (+/-0.039) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 11, 'classification__n_neighbors': 29, 'classification__p': 2, 'classification__weights': 'distance'}
0.62206 (+/-0.013) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 13, 'classification__n_neighbors': 21, 'classification__p': 2, 'classification__weights': 'distance'}
0.62206 (+/-0.027) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 14, 'classification__n_neighbors': 19, 'classification__p': 1, 'classification__weights': 'uniform'}
0.62206 (+/-0.027) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 19, 'classification__n_neighbors': 19, 'classification__p': 1, 'classification__weights': 'distance'}
0.62206 (+/-0.040) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 22, 'classification__n_neighbors': 17, 'classification__p': 1, 'classification__weights': 'distance'}
0.62206 (+/-0.038) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 24, 'classification__n_neighbors': 17, 'classification__p': 1, 'classification__weights': 'uniform'}
0.62206 (+/-0.025) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 27, 'classification__n_neighbors': 19, 'classification__p': 2, 'classification__weights': 'distance'}
0.62184 (+/-0.044) for {'classification__algorithm': 'auto', 'classification__leaf_size': 1, 'classification__n_neighbors': 19, 'classification__p': 1, 'classification__weights': 'uniform'}
0.62184 (+/-0.035) for {'classification__algorithm': 'auto', 'classification__leaf_size': 4, 'classification__n_neighbors': 13, 'classification__p': 2, 'classification__weights': 'uniform'}
0.62184 (+/-0.033) for {'classification__algorithm': 'auto', 'classification__leaf_size': 4, 'classification__n_neighbors': 21, 'classification__p': 1, 'classification__weights': 'distance'}
0.62184 (+/-0.044) for {'classification__algorithm': 'auto', 'classification__leaf_size': 8, 'classification__n_neighbors': 17, 'classification__p': 1, 'classification__weights': 'uniform'}
0.62184 (+/-0.030) for {'classification__algorithm': 'auto', 'classification__leaf_size': 16, 'classification__n_neighbors': 19, 'classification__p': 1, 'classification__weights': 'distance'}
0.62184 (+/-0.037) for {'classification__algorithm': 'auto', 'classification__leaf_size': 19, 'classification__n_neighbors': 17, 'classification__p': 2, 'classification__weights': 'distance'}
0.62184 (+/-0.027) for {'classification__algorithm': 'auto', 'classification__leaf_size': 21, 'classification__n_neighbors': 21, 'classification__p': 2, 'classification__weights': 'distance'}
0.62184 (+/-0.026) for {'classification__algorithm': 'auto', 'classification__leaf_size': 26, 'classification__n_neighbors': 11, 'classification__p': 2, 'classification__weights': 'uniform'}
0.62184 (+/-0.022) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 1, 'classification__n_neighbors': 19, 'classification__p': 2, 'classification__weights': 'distance'}
0.62184 (+/-0.034) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 2, 'classification__n_neighbors': 15, 'classification__p': 2, 'classification__weights': 'distance'}
0.62184 (+/-0.017) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 4, 'classification__n_neighbors': 19, 'classification__p': 2, 'classification__weights': 'distance'}
0.62184 (+/-0.028) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 6, 'classification__n_neighbors': 21, 'classification__p': 1, 'classification__weights': 'uniform'}
0.62184 (+/-0.041) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 6, 'classification__n_neighbors': 21, 'classification__p': 1, 'classification__weights': 'distance'}
0.62184 (+/-0.032) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 21, 'classification__n_neighbors': 17, 'classification__p': 1, 'classification__weights': 'uniform'}
0.62184 (+/-0.034) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 22, 'classification__n_neighbors': 13, 'classification__p': 2, 'classification__weights': 'distance'}
0.62184 (+/-0.038) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 23, 'classification__n_neighbors': 13, 'classification__p': 2, 'classification__weights': 'uniform'}
0.62184 (+/-0.026) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 27, 'classification__n_neighbors': 13, 'classification__p': 2, 'classification__weights': 'uniform'}
0.62184 (+/-0.027) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 28, 'classification__n_neighbors': 19, 'classification__p': 1, 'classification__weights': 'uniform'}
0.62184 (+/-0.022) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 1, 'classification__n_neighbors': 15, 'classification__p': 2, 'classification__weights': 'uniform'}
0.62184 (+/-0.027) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 1, 'classification__n_neighbors': 19, 'classification__p': 2, 'classification__weights': 'distance'}
0.62184 (+/-0.029) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 8, 'classification__n_neighbors': 13, 'classification__p': 2, 'classification__weights': 'distance'}
0.62162 (+/-0.031) for {'classification__algorithm': 'auto', 'classification__leaf_size': 2, 'classification__n_neighbors': 13, 'classification__p': 2, 'classification__weights': 'uniform'}
0.62162 (+/-0.044) for {'classification__algorithm': 'auto', 'classification__leaf_size': 2, 'classification__n_neighbors': 19, 'classification__p': 1, 'classification__weights': 'uniform'}
0.62162 (+/-0.030) for {'classification__algorithm': 'auto', 'classification__leaf_size': 15, 'classification__n_neighbors': 19, 'classification__p': 2, 'classification__weights': 'distance'}
0.62162 (+/-0.038) for {'classification__algorithm': 'auto', 'classification__leaf_size': 23, 'classification__n_neighbors': 19, 'classification__p': 1, 'classification__weights': 'uniform'}
0.62162 (+/-0.028) for {'classification__algorithm': 'auto', 'classification__leaf_size': 28, 'classification__n_neighbors': 15, 'classification__p': 2, 'classification__weights': 'uniform'}
0.62162 (+/-0.034) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 3, 'classification__n_neighbors': 21, 'classification__p': 1, 'classification__weights': 'distance'}
0.62162 (+/-0.023) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 7, 'classification__n_neighbors': 17, 'classification__p': 1, 'classification__weights': 'uniform'}
0.62162 (+/-0.029) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 8, 'classification__n_neighbors': 21, 'classification__p': 2, 'classification__weights': 'distance'}
0.62162 (+/-0.040) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 19, 'classification__n_neighbors': 19, 'classification__p': 1, 'classification__weights': 'uniform'}
0.62162 (+/-0.027) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 20, 'classification__n_neighbors': 21, 'classification__p': 1, 'classification__weights': 'distance'}
0.62162 (+/-0.038) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 23, 'classification__n_neighbors': 21, 'classification__p': 1, 'classification__weights': 'distance'}
0.62162 (+/-0.037) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 24, 'classification__n_neighbors': 19, 'classification__p': 1, 'classification__weights': 'uniform'}
0.62162 (+/-0.029) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 25, 'classification__n_neighbors': 23, 'classification__p': 2, 'classification__weights': 'distance'}
0.62162 (+/-0.032) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 28, 'classification__n_neighbors': 21, 'classification__p': 1, 'classification__weights': 'distance'}
0.62162 (+/-0.027) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 3, 'classification__n_neighbors': 15, 'classification__p': 2, 'classification__weights': 'uniform'}
0.62162 (+/-0.036) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 6, 'classification__n_neighbors': 15, 'classification__p': 1, 'classification__weights': 'uniform'}
0.62162 (+/-0.030) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 8, 'classification__n_neighbors': 21, 'classification__p': 1, 'classification__weights': 'distance'}
0.62162 (+/-0.037) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 10, 'classification__n_neighbors': 17, 'classification__p': 2, 'classification__weights': 'distance'}
0.62162 (+/-0.032) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 14, 'classification__n_neighbors': 21, 'classification__p': 1, 'classification__weights': 'distance'}
0.62162 (+/-0.032) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 15, 'classification__n_neighbors': 21, 'classification__p': 1, 'classification__weights': 'distance'}
0.62162 (+/-0.037) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 15, 'classification__n_neighbors': 27, 'classification__p': 1, 'classification__weights': 'distance'}
0.62162 (+/-0.031) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 16, 'classification__n_neighbors': 21, 'classification__p': 2, 'classification__weights': 'distance'}
0.62162 (+/-0.029) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 18, 'classification__n_neighbors': 17, 'classification__p': 1, 'classification__weights': 'uniform'}
0.62162 (+/-0.036) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 21, 'classification__n_neighbors': 17, 'classification__p': 1, 'classification__weights': 'uniform'}
0.62162 (+/-0.036) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 23, 'classification__n_neighbors': 19, 'classification__p': 1, 'classification__weights': 'distance'}
0.62139 (+/-0.034) for {'classification__algorithm': 'auto', 'classification__leaf_size': 2, 'classification__n_neighbors': 15, 'classification__p': 2, 'classification__weights': 'distance'}
0.62139 (+/-0.041) for {'classification__algorithm': 'auto', 'classification__leaf_size': 4, 'classification__n_neighbors': 19, 'classification__p': 1, 'classification__weights': 'uniform'}
0.62139 (+/-0.034) for {'classification__algorithm': 'auto', 'classification__leaf_size': 6, 'classification__n_neighbors': 21, 'classification__p': 2, 'classification__weights': 'distance'}
0.62139 (+/-0.033) for {'classification__algorithm': 'auto', 'classification__leaf_size': 11, 'classification__n_neighbors': 15, 'classification__p': 2, 'classification__weights': 'uniform'}
0.62139 (+/-0.033) for {'classification__algorithm': 'auto', 'classification__leaf_size': 20, 'classification__n_neighbors': 15, 'classification__p': 2, 'classification__weights': 'distance'}
0.62139 (+/-0.022) for {'classification__algorithm': 'auto', 'classification__leaf_size': 22, 'classification__n_neighbors': 19, 'classification__p': 2, 'classification__weights': 'distance'}
0.62139 (+/-0.022) for {'classification__algorithm': 'auto', 'classification__leaf_size': 27, 'classification__n_neighbors': 15, 'classification__p': 2, 'classification__weights': 'distance'}
0.62139 (+/-0.029) for {'classification__algorithm': 'auto', 'classification__leaf_size': 27, 'classification__n_neighbors': 19, 'classification__p': 2, 'classification__weights': 'distance'}
0.62139 (+/-0.035) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 8, 'classification__n_neighbors': 17, 'classification__p': 2, 'classification__weights': 'distance'}
0.62139 (+/-0.030) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 18, 'classification__n_neighbors': 15, 'classification__p': 1, 'classification__weights': 'distance'}
0.62139 (+/-0.029) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 22, 'classification__n_neighbors': 15, 'classification__p': 2, 'classification__weights': 'distance'}
0.62139 (+/-0.039) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 26, 'classification__n_neighbors': 19, 'classification__p': 1, 'classification__weights': 'distance'}
0.62139 (+/-0.030) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 26, 'classification__n_neighbors': 21, 'classification__p': 2, 'classification__weights': 'uniform'}
0.62139 (+/-0.040) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 27, 'classification__n_neighbors': 17, 'classification__p': 1, 'classification__weights': 'uniform'}
0.62139 (+/-0.028) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 30, 'classification__n_neighbors': 15, 'classification__p': 2, 'classification__weights': 'uniform'}
0.62139 (+/-0.040) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 3, 'classification__n_neighbors': 23, 'classification__p': 1, 'classification__weights': 'distance'}
0.62139 (+/-0.033) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 7, 'classification__n_neighbors': 21, 'classification__p': 2, 'classification__weights': 'distance'}
0.62139 (+/-0.024) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 9, 'classification__n_neighbors': 17, 'classification__p': 2, 'classification__weights': 'distance'}
0.62139 (+/-0.033) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 13, 'classification__n_neighbors': 19, 'classification__p': 2, 'classification__weights': 'distance'}
0.62139 (+/-0.031) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 17, 'classification__n_neighbors': 19, 'classification__p': 1, 'classification__weights': 'uniform'}
0.62139 (+/-0.035) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 19, 'classification__n_neighbors': 19, 'classification__p': 1, 'classification__weights': 'uniform'}
0.62139 (+/-0.025) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 19, 'classification__n_neighbors': 19, 'classification__p': 2, 'classification__weights': 'uniform'}
0.62139 (+/-0.022) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 21, 'classification__n_neighbors': 15, 'classification__p': 2, 'classification__weights': 'uniform'}
0.62139 (+/-0.028) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 21, 'classification__n_neighbors': 17, 'classification__p': 2, 'classification__weights': 'distance'}
0.62139 (+/-0.035) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 26, 'classification__n_neighbors': 19, 'classification__p': 1, 'classification__weights': 'uniform'}
